year,make,model,trim,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice
2001,Chevrolet,S-10,LS,Extended Cab,automatic,ca,2.3,177925.0,gray,gray,1600,1600
2012,Ram,1500,ST,Quad Cab,automatic,tx,3.8,31530.0,gray,gray,16700,15700
2001,Honda,Accord,LX,sedan,automatic,nc,1.9,237986.0,beige,beige,1150,1800
2013,Nissan,Rogue,SV,SUV,automatic,nc,3.7,37824.0,black,black,13550,13900
2012,Acura,TL,Base,Sedan,automatic,il,3.5,24053.0,gray,black,19400,19100
2011,Nissan,Sentra,2.0,Sedan,automatic,nc,3.4,71053.0,black,gray,7600,6500
2013,Ram,1500,Tradesman,Crew Cab,automatic,oh,3.7,24583.0,silver,gray,26300,25400
2015,Toyota,4Runner,SR5,suv,automatic,nv,5,3110.0,orange,black,33700,44750
2010,Chevrolet,Silverado 1500,LT,Extended Cab,automatic,pa,3.7,67395.0,gray,black,18850,18000
2012,,,,,automatic,ca,3.9,62119.0,silver,black,8275,8600
2011,Subaru,Impreza,WRX STI,Hatchback,manual,ca,2.8,59227.0,red,black,24600,23500
2004,Toyota,Matrix,XR,Wagon,automatic,ma,2.8,137144.0,silver,black,3450,3700
2009,Toyota,Venza,Base,Wagon,automatic,az,3.5,136851.0,brown,tan,9750,14100
2005,Dodge,Ram Pickup 1500,SLT,Regular Cab,automatic,pr,3.7,60511.0,black,black,5075,5900
2012,Nissan,Maxima,3.5 S,Sedan,automatic,fl,2.4,25284.0,black,black,17550,13600
2012,Honda,Odyssey,EX-L,Minivan,,pa,4.4,35920.0,black,brown,23000,11100
2012,Hyundai,Elantra,GLS,Sedan,,pa,2.3,32508.0,blue,beige,10800,8800
2012,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,tn,4.6,41215.0,white,tan,33400,34500
2013,Chrysler,200,Touring,Sedan,automatic,in,4.8,23121.0,burgundy,beige,11600,11400
2014,Ford,Escape,SE,SUV,automatic,fl,4.5,32845.0,white,gray,18600,18500
2010,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,tn,1.9,156654.0,white,black,13150,11400
2003,Porsche,Boxster,S,convertible,manual,tx,2.8,86857.0,yellow,black,9200,11600
2013,Nissan,Altima,2.5,Sedan,automatic,nj,2.3,23783.0,black,gray,14100,12500
2012,Ford,Fusion,SEL,Sedan,automatic,il,4.8,29220.0,white,gray,13400,14600
2005,Volvo,XC90,2.5T,SUV,automatic,pa,2.2,144526.0,silver,black,3875,3400
2008,MINI,Cooper,Base,Convertible,automatic,ca,2.3,102184.0,white,blue,4950,4500
2007,Ford,F-150,XL,Regular Cab,,tx,2.5,98381.0,silver,gray,5875,6200
2013,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,tx,4.3,19437.0,gray,gray,24700,24800
2007,Pontiac,Grand Prix,Base,Sedan,automatic,ne,3.6,100115.0,red,tan,4100,5000
2008,Toyota,Tundra,Limited,CrewMax Cab,automatic,pa,2.1,60553.0,red,gray,24500,23500
2013,Ford,F-150,XL,SuperCrew,automatic,fl,3.7,56006.0,white,gray,17450,18700
2012,Ford,Explorer,XLT,SUV,,nj,2.9,22446.0,blue,black,26600,25600
2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.9,60376.0,black,black,16850,18750
2007,Jeep,Liberty,Sport,SUV,automatic,fl,4.1,113670.0,red,gray,4800,4200
2006,Volvo,S60,2.5T,Sedan,automatic,va,2.1,84230.0,blue,gray,4625,3600
2014,Ford,Fusion,Titanium,Sedan,automatic,tx,4.8,32907.0,—,black,10800,17500
2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wi,3.9,46458.0,black,black,19900,20000
2012,Hyundai,Genesis,3.8,Sedan,automatic,tn,4.4,55802.0,—,gray,15300,15500
2009,Toyota,Camry,LE,Sedan,automatic,az,1.9,74345.0,silver,green,8450,7400
2013,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,tn,3.9,61028.0,burgundy,gray,9775,9000
2011,Acura,TL,Base,Sedan,automatic,ca,3.8,49506.0,gray,black,18200,19750
2012,Ford,Explorer,XLT,suv,,pa,4.6,36482.0,gray,black,22600,23500
2014,Nissan,Altima,2.5 S,Sedan,,pa,2,28857.0,red,black,14250,12000
2014,jeep,patriot,north,,,on,5,10305.0,black,black,18600,18600
2002,Chevrolet,Suburban,1500 LS,suv,automatic,nc,2.6,234345.0,red,beige,2675,1700
2013,Ford,Focus,SE,hatchback,automatic,md,3.9,56029.0,white,black,9075,8700
2012,Hyundai,Sonata,GLS,Sedan,automatic,ca,4.3,15240.0,silver,gray,12550,13400
2012,Lexus,ES 350,Base,Sedan,automatic,fl,4.3,29434.0,silver,gray,22200,21700
2005,,,,,automatic,ca,2.6,152476.0,black,tan,5600,6700
2013,Nissan,Maxima,3.5 S,Sedan,automatic,mo,2.8,60402.0,silver,black,13050,11500
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,ga,3.8,33305.0,red,black,16150,16800
2006,Chevrolet,TrailBlazer,LT,SUV,automatic,mo,2.6,122371.0,white,gray,4850,6600
2007,,,,,automatic,tx,2.8,88062.0,silver,black,7900,6400
2001,Ford,F-150,XLT,SuperCrew,,ca,2.6,139591.0,blue,gray,4650,4600
2011,Mazda,CX-7,i Sport,suv,automatic,ca,4.3,55913.0,silver,black,11400,11600
2011,,,,,automatic,ca,2.7,65259.0,white,gray,13500,12500
2010,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,mo,4.1,99453.0,black,black,15450,17500
2009,Ford,Escape,XLT,SUV,automatic,fl,3.6,86409.0,silver,gray,8150,8200
2014,Dodge,Grand Caravan,R/T,Minivan,automatic,va,5,7179.0,gold,black,19750,20000
2007,Kia,Rondo,EX,Wagon,automatic,md,1.9,124922.0,blue,tan,2700,1800
2008,Chevrolet,Impala,LT,Sedan,automatic,fl,4.2,81419.0,gold,beige,6400,7800
2012,MINI,Cooper Clubman,S,hatchback,,fl,4.4,30442.0,brown,—,14850,14800
2012,Toyota,Corolla,LE,Sedan,automatic,pa,2.9,58443.0,gray,gray,9500,9300
2013,Nissan,Sentra,FE+ S,sedan,,co,4.2,22116.0,black,black,11850,9000
2007,Chrysler,PT Cruiser,Touring,wagon,automatic,pa,1.3,78427.0,black,black,2700,750
2013,Hyundai,Genesis,3.8,Sedan,automatic,tx,2.5,41321.0,white,tan,15950,16000
2014,Ford,Explorer,Limited,SUV,automatic,ga,4.8,18441.0,black,black,29400,29600
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,co,4,18150.0,gold,black,16950,16800
2012,Nissan,Altima,2.5 S,Sedan,automatic,tx,3.1,41247.0,white,gray,11650,11200
2014,Ford,Escape,SE,SUV,,pa,3.8,34096.0,gray,black,18700,17400
2009,Ford,Escape,XLT,SUV,automatic,nc,3.6,144605.0,gray,black,6925,6600
2013,Ford,Edge,SEL,SUV,automatic,il,4.2,15655.0,black,black,23700,24500
2012,Volkswagen,Jetta,SE PZEV,Sedan,automatic,ca,2.4,26135.0,gray,black,10450,10500
2002,Lexus,ES 300,Base,Sedan,automatic,fl,1.9,173750.0,gold,tan,3750,3400
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,fl,2,67839.0,black,black,18500,14800
2013,Nissan,Altima,2.5,Sedan,,nc,4.9,29567.0,gray,black,16900,17200
2013,Mazda,Mazda3,i Sport,Sedan,automatic,in,3.5,47792.0,gray,black,9925,9500
2012,Ford,Focus,SE,Sedan,automatic,tx,3.5,55009.0,white,gray,8875,8600
2007,Mercedes-Benz,SL-Class,SL550,convertible,,pa,3.4,65045.0,black,black,23900,21500
2005,,,,,automatic,nj,1.9,208128.0,gray,gray,2550,2100
2006,Mazda,Mazda3,s,sedan,,nj,2.9,89520.0,—,black,2250,5800
2013,Kia,Soul,+,wagon,,pa,4.1,50273.0,white,black,10300,10100
2006,Chrysler,300,C,sedan,automatic,tx,4.3,108761.0,gray,gray,7000,6400
2012,Porsche,Panamera,Base,Sedan,automatic,nv,3.9,22182.0,black,black,51200,54250
2013,MINI,Cooper Paceman,Base,Hatchback,automatic,nv,4.3,12860.0,blue,black,17800,18500
2012,Toyota,Tacoma,Base,Access Cab,automatic,fl,1.9,66083.0,gray,gray,15600,14900
2003,Nissan,Altima,2.5 SL,Sedan,automatic,nj,1.9,152931.0,green,tan,2175,1700
2012,Volkswagen,Jetta,SE PZEV,Sedan,automatic,ga,1.9,32934.0,gray,black,10150,8400
2005,Toyota,Prius,Base,Hatchback,automatic,va,2.6,259264.0,silver,gray,1525,2200
2004,Lincoln,Aviator,Luxury,SUV,automatic,ga,3.7,143004.0,gold,beige,3050,3500
2000,Ford,F-150,XLT,Extended Cab,automatic,pr,1.9,177642.0,black,tan,2275,2500
2012,Dodge,Journey,SXT,SUV,automatic,pa,2.6,26347.0,gray,black,13500,13100
2008,Chevrolet,HHR,SS,wagon,manual,tn,3.4,76082.0,black,gray,8625,7500
2009,Chevrolet,Cobalt,LT,Sedan,automatic,nj,3.5,96234.0,white,black,4075,3450
2007,Lincoln,MKZ,Base,sedan,automatic,fl,2.7,79531.0,white,gold,7450,7800
2013,Ford,Escape,Titanium,SUV,automatic,co,4.3,65783.0,green,black,20800,20600
2013,Ford,E-Series Wagon,E-350 Super Duty XL,Van,,nj,4.4,44013.0,—,gray,18900,19400
2011,Buick,LaCrosse,CXS,Sedan,automatic,nc,3.7,59835.0,gray,gray,15150,17400
2011,Nissan,Leaf,SL,Hatchback,automatic,ca,3.6,19319.0,—,beige,10900,10750
2005,Mercedes-Benz,SL-Class,SL500,Convertible,automatic,ca,3.5,25143.0,red,beige,22100,25750
2008,Chrysler,Town and Country,LX,Minivan,automatic,nc,2.5,114629.0,white,gray,5175,4100
2007,Chevrolet,Tahoe,LT,SUV,automatic,ga,4.9,97100.0,gold,gray,15650,16700
2010,Ford,Flex,SEL,Wagon,automatic,ca,3.7,167265.0,red,beige,7400,8400
2007,Honda,Accord,Special Edition,Sedan,manual,ca,2.3,75675.0,gray,gray,7625,7700
2003,Chevrolet,S-10,LS,Regular Cab,manual,ga,1.9,244088.0,white,black,575,1500
2011,Dodge,Caliber,Mainstreet,wagon,automatic,wi,4.2,79827.0,white,black,7550,8800
2013,Hyundai,Sonata,GLS,Sedan,automatic,ga,3.7,34584.0,blue,gray,12500,12700
2011,Mazda,Mazda3,i Touring,Sedan,automatic,fl,3.7,44157.0,silver,black,9750,11000
2013,Ford,Focus,SE,Hatchback,automatic,tx,4.2,39722.0,gray,black,11100,10900
2013,Toyota,RAV4,Limited,SUV,automatic,ga,2.2,41231.0,gray,gray,21300,18500
2010,Honda,CR-V,EX-L,SUV,automatic,fl,4.4,64250.0,blue,gray,14050,14900
2012,Jeep,Wrangler,Rubicon,suv,manual,mo,4.2,49759.0,silver,black,24700,25800
2011,Chevrolet,Impala,LT Fleet,sedan,automatic,mo,3.3,81851.0,silver,gray,7600,8500
2008,Honda,Civic,EX,Coupe,manual,nc,1.9,113867.0,blue,gray,6150,4000
2012,Ford,Escape,Limited,SUV,automatic,pa,4.9,30738.0,black,black,19200,18600
2013,Mercedes-Benz,SL-Class,SL550,Convertible,automatic,ga,4.8,19213.0,black,gray,72000,70000
1997,,,,,automatic,tx,2.1,219160.0,white,gray,800,1100
2012,Ram,1500,SLT,Quad Cab,automatic,tx,3.3,47484.0,silver,—,19850,19500
2013,Chevrolet,Equinox,LS,suv,automatic,fl,4.2,33198.0,white,black,14600,14700
2013,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,oh,3,25499.0,gray,black,24500,24250
2013,Kia,Sorento,LX,SUV,automatic,ga,3.8,44275.0,burgundy,beige,14850,15400
2011,Dodge,Charger,Base,Sedan,automatic,tn,3.9,53386.0,white,black,13700,14000
2001,Honda,Civic,LX,Coupe,manual,fl,2.8,142015.0,white,beige,1575,1900
2005,Chevrolet,Malibu,LS,Sedan,automatic,fl,1.9,159425.0,red,gray,2100,1300
2007,MINI,Cooper,S,Hatchback,manual,fl,3.8,76993.0,blue,black,6750,8000
2004,Chevrolet,Suburban,1500 LS,SUV,automatic,sc,3.3,203561.0,white,beige,3325,5600
2007,Honda,CR-V,LX,SUV,automatic,mi,2.5,77868.0,burgundy,gray,8650,7200
2007,BMW,5 Series,530xi,Sedan,automatic,ne,3.6,98495.0,gray,black,9350,11600
2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,nj,4.3,54474.0,gray,gray,10100,9900
2000,,,,,automatic,va,3.4,126128.0,silver,gray,1650,2900
2011,Lincoln,MKZ,Base,Sedan,automatic,tx,2.1,65274.0,black,black,10750,10700
2015,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,,mn,4.1,15419.0,white,gray,34700,36000
2013,Toyota,Corolla,S,Sedan,automatic,il,3.5,46645.0,white,black,11850,11400
2013,Ford,Edge,Limited,suv,,nj,3.5,62286.0,silver,black,17100,16700
2007,Mercedes-Benz,GL-Class,GL450,SUV,automatic,fl,2.6,157738.0,silver,black,11550,12200
2014,Infiniti,QX60,Base,SUV,automatic,ca,4.6,13939.0,silver,black,34500,41000
2015,Nissan,Altima,2.5 S,Sedan,automatic,ca,4.7,2520.0,white,black,16400,16250
2012,BMW,X6,xDrive35i,SUV,,nj,2.9,21984.0,white,black,42500,36000
2007,Toyota,RAV4,Base,suv,automatic,il,3.1,85108.0,blue,tan,8500,9500
2008,Audi,A8,L quattro,Sedan,automatic,mn,3.7,53717.0,black,brown,19850,22300
2012,Mercedes-Benz,E-Class,E350 Luxury 4MATIC,Sedan,automatic,tx,4.3,8121.0,black,black,32700,33000
2013,Chevrolet,Malibu,LT,Sedan,automatic,sc,2.9,61583.0,blue,black,11300,11200
2010,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,oh,4.4,59822.0,silver,gray,21900,22900
2012,Honda,Civic,EX,Sedan,automatic,pa,3.7,26379.0,blue,gray,12300,12400
2012,Honda,Odyssey,LX,Minivan,automatic,pa,3.7,40164.0,gray,gray,15600,16200
2012,BMW,5 Series,535i,Sedan,automatic,fl,4.4,30961.0,gray,black,34600,37200
2007,,,,,manual,pa,4.3,59061.0,blue,black,6800,6500
2011,Nissan,Rogue,SV,SUV,automatic,tx,4.2,71503.0,white,gray,10900,10800
2013,Ford,Flex,SEL,Wagon,automatic,ca,3.8,31578.0,silver,black,22900,23100
2011,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,fl,3.2,110311.0,black,gray,16500,16500
2014,Ford,Expedition,King Ranch,SUV,automatic,mo,4.6,21010.0,white,brown,39900,40500
2003,Volkswagen,New Beetle,GLS,Hatchback,automatic,tx,1.5,92884.0,blue,tan,2350,800
2000,Ford,Taurus,SEL,Sedan,automatic,nc,2.4,186026.0,burgundy,gray,475,1200
2013,Infiniti,G Coupe,G37 Sport,G Coupe,manual,fl,3.7,21370.0,white,black,27200,26400
2012,Ford,Fiesta,SE,Hatchback,automatic,fl,4.1,62523.0,white,black,7700,7400
2014,Ford,Fiesta,SE,Hatchback,automatic,ca,4.3,28189.0,red,black,10500,10300
2014,Chevrolet,Cruze,2LT,Sedan,,pa,4,19127.0,black,black,13450,13600
2009,Dodge,Charger,Base,Sedan,automatic,ga,2,73635.0,blue,gray,8975,5400
2007,Dodge,Grand Caravan,SXT,Minivan,automatic,nc,3.2,85854.0,blue,gray,4725,4600
2012,Nissan,Altima,2.5 S,Sedan,automatic,ga,4.4,30750.0,white,beige,12200,15000
2010,Chevrolet,Silverado 1500,Work Truck,Extended Cab,automatic,la,4.3,47436.0,white,gray,14650,15000
2012,Nissan,Altima,2.5 S,Sedan,automatic,nj,2.7,33055.0,black,black,12350,10200
2015,MINI,Cooper Countryman,Base,Wagon,automatic,fl,4.9,3566.0,red,black,21900,23200
2011,Toyota,4Runner,SR5,SUV,automatic,mo,4.7,77340.0,gray,black,23100,23700
1997,Ford,Taurus,GL,Sedan,automatic,pr,1.9,23494.0,green,beige,850,300
2012,Chrysler,200,LX,Sedan,automatic,md,1,45659.0,black,black,9500,1800
2013,Chevrolet,Equinox,LTZ,SUV,automatic,ca,3.6,36190.0,white,black,17950,17800
2003,GMC,Yukon XL,Denali,SUV,automatic,tn,3.2,241780.0,beige,gray,2200,3100
2007,Chevrolet,Impala,LS,sedan,automatic,mi,1.9,150427.0,blue,gray,2725,1700
2003,Ford,Explorer,XLT,SUV,,nc,2,135902.0,blue,gray,2050,1300
2013,,,,,automatic,ca,4.3,88738.0,white,gray,16400,13500
2014,Dodge,Grand Caravan,R/T,minivan,automatic,il,4,19904.0,blue,black,19150,19500
2012,Chevrolet,Malibu,LT,Sedan,automatic,mn,4.4,48426.0,gray,black,10250,11300
2013,Chevrolet,Sonic,LT,Hatchback,automatic,nc,3.7,38130.0,red,gray,9100,9900
2014,Ford,Fusion Hybrid,SE,Sedan,automatic,ca,4.4,33279.0,green,black,18050,19500
2014,Ford,Fusion,SE,Sedan,automatic,tx,3.6,17993.0,gray,black,14000,13200
2013,Nissan,Altima,2.5,Sedan,automatic,nv,3.5,28968.0,red,black,13450,14700
2011,Ford,Edge,SE,SUV,automatic,tx,2.7,148554.0,black,black,7325,9100
2013,Toyota,Prius,Two,Hatchback,automatic,ca,3.7,34521.0,white,gray,15250,16100
2012,Lexus,RX 350,Base,suv,automatic,oh,4.2,30129.0,red,tan,27300,30100
2000,jeep,wrangler,4x4 4c se,,automatic,oh,4.4,107399.0,silver,—,6300,5600
2008,Mitsubishi,Eclipse,SE,Hatchback,automatic,fl,3.3,76919.0,orange,black,7375,8300
2011,Scion,tC,Base,hatchback,automatic,oh,4.2,37047.0,burgundy,black,11250,11900
2013,Toyota,Camry,SE,Sedan,automatic,nc,3.5,39083.0,white,black,14400,14100
2014,Honda,CR-V,EX,suv,automatic,il,4.4,14352.0,gray,black,21500,22200
2009,Pontiac,G6,Base,Sedan,automatic,mi,4.4,24097.0,silver,black,8125,8900
2007,Mercedes-Benz,R-Class,R350,Wagon,automatic,az,,118594.0,white,tan,7850,5300
2012,,,,,automatic,ga,4.7,12082.0,—,black,18350,17600
2010,Dodge,Journey,SXT,SUV,automatic,tx,3.4,127061.0,black,gray,5625,7100
2012,Chrysler,200,Touring,Sedan,automatic,nc,3.9,50563.0,black,gray,9100,9800
2010,Nissan,Altima,2.5 S,Coupe,automatic,md,2.9,118035.0,white,beige,7050,7400
2014,,,,,,on,4.5,35025.0,black,black,19850,22600
2012,Nissan,Leaf,SL,Hatchback,automatic,ga,4.4,25988.0,red,tan,11350,10000
2012,Lexus,RX 350,Base,suv,automatic,fl,4.3,29207.0,black,black,27000,26600
2008,Chevrolet,Express Cargo,2500,Van,automatic,nc,2.4,202789.0,white,gray,4425,4600
2012,Hyundai,Elantra,GLS,Sedan,automatic,tn,3.9,36992.0,black,tan,10400,10400
2003,Infiniti,G35,Base,Sedan,automatic,ca,1.9,191311.0,black,black,2750,1600
2009,Toyota,Highlander,Sport,SUV,automatic,nj,4.9,149875.0,blue,black,12000,13000
2003,,,,,automatic,ca,3.7,54963.0,silver,black,21600,20000
2002,Chevrolet,Impala,Base,Sedan,automatic,fl,1.9,183414.0,green,gray,1225,1300
2013,Lexus,GS 350,Base,Sedan,automatic,fl,4.4,7334.0,off-white,gray,35700,36900
2005,Chevrolet,Colorado,Z71,Regular Cab,automatic,pa,2.1,177397.0,black,gray,2575,3300
2000,Chevrolet,Malibu,LS,Sedan,automatic,fl,1.9,153411.0,white,tan,725,400
2011,Subaru,Forester,2.5X Premium,SUV,automatic,tx,3.5,87287.0,black,black,12600,12700
2013,Lincoln,MKX,Base,SUV,automatic,mi,2.8,38298.0,black,black,26700,21300
2012,Chevrolet,Traverse,LS,SUV,automatic,nc,4.2,31960.0,white,gray,16350,17800
2013,Ram,1500,Tradesman,crew cab,automatic,co,2.7,38399.0,white,gray,24600,23400
2014,Ford,Fiesta,SE,Hatchback,automatic,mi,5,36960.0,gray,black,10100,10100
2011,Chevrolet,Equinox,LT1,SUV,,pa,3.7,82682.0,red,gray,12550,12900
2012,Toyota,Camry,LE,sedan,automatic,oh,3.1,44843.0,—,gray,11950,11500
2013,Ford,Escape,SE,SUV,automatic,md,4.2,63946.0,blue,gray,13300,12200
2005,Acura,TSX,Base,sedan,automatic,fl,2.9,127736.0,black,black,6150,5600
2012,Toyota,Camry,LE,Sedan,automatic,ca,3.7,67354.0,gray,gray,11350,12500
2007,Chrysler,300,Base,Sedan,automatic,ga,1.9,122213.0,black,black,5100,4500
2013,Ford,F-150,FX4,SuperCrew,automatic,fl,5,22961.0,—,black,32600,36100
2009,Toyota,Camry,LE,Sedan,automatic,tx,2.9,88161.0,white,gray,8000,7300
2013,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,mi,,38200.0,red,black,30200,28600
2007,Lexus,RX 400h,Base,SUV,automatic,fl,3.5,91770.0,blue,—,12800,11600
2014,Dodge,Journey,SXT,SUV,,on,4.5,18863.0,gray,black,19300,20100
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.7,22319.0,white,black,21200,25000
2012,Chevrolet,Volt,Base,Hatchback,automatic,nc,4.2,78618.0,black,black,9700,9600
2012,Chevrolet,Volt,Base,Hatchback,automatic,pa,4.1,55771.0,blue,black,12250,11000
2013,Lexus,ES 350,Base,Sedan,automatic,fl,4.2,15432.0,brown,tan,28700,27500
2013,Ford,Focus,SE,sedan,automatic,nj,3.9,53810.0,silver,black,8975,8700
2007,Pontiac,G5,Base,Coupe,automatic,mi,2.5,89737.0,red,black,3700,4000
2007,Volkswagen,GTI,Base,hatchback,manual,pa,2.3,95103.0,gray,black,5925,7000
2012,Ford,Fusion,SPORT,Sedan,automatic,ny,3.9,47267.0,black,black,13550,13300
2014,Chevrolet,Equinox,LT,SUV,automatic,nv,4.6,8038.0,black,black,19800,20100
2007,Ford,F-150,XL,regular cab,automatic,tx,3.7,69144.0,blue,gray,6425,9800
2011,Nissan,Altima,3.5 SR,Sedan,automatic,fl,2.6,70785.0,silver,black,11550,9000
2011,Ford,Focus,SE,Sedan,automatic,tx,4,69125.0,white,gray,6925,7900
2014,Ford,E-Series Van,E-250,E-Series Van,,nj,3.2,10773.0,white,gray,20100,19700
2004,Ford,Mustang,GT Premium,Coupe,manual,fl,2.4,98152.0,silver,gray,3850,4500
2002,Toyota,Camry,SE V6,Sedan,,il,,187709.0,gray,—,2150,3000
2012,Cadillac,SRX,Base,SUV,automatic,mi,4.6,25088.0,black,black,21800,22500
2005,Jeep,Grand Cherokee,Limited,SUV,automatic,pa,2.8,108987.0,silver,gray,6775,7600
2013,Audi,A4,2.0T Premium,Sedan,automatic,fl,3.6,28867.0,gray,black,21000,21300
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,nj,3.6,56808.0,gray,gray,17100,16600
2006,Chevrolet,Malibu,LT,Sedan,automatic,la,4.2,135584.0,white,gray,2850,4200
2006,,,,,automatic,tx,4.2,158960.0,blue,gray,7425,9800
